year,boro,uhf,sex,risk,hivdx,concurrent,linked30d,linked60d,linked3m,linked12m,newdx_ret,vls_6m,VLS_12m,AIDS_12m,AIDS_24m,Med_CD4,hivdx_rate,AIDSdx,PLWDHI,incare,Ret,VLtest,VLS,PLWDHI_rate,Deaths,Death_rate
2010sep,Manhattan,Gramercy Park - Murray Hill,Male,Men who have sex with men (MSM),50,7,22,29,32,39,35,.,.,4,7,.,.,24,.,.,.,.,.,.,13,8.2
2010sep,Manhattan,Gramercy Park - Murray Hill,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Gramercy Park - Murray Hill,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Gramercy Park - Murray Hill,Male,Unknown,9,3,2,2,3,5,3,.,.,0,0,.,.,7,.,.,.,.,.,.,4,7.7
2010sep,Manhattan,Greenwich Village - Soho,All,All,50,6,19,28,33,39,35,.,.,2,2,.,.,24,.,.,.,.,.,.,16,7.4
2010sep,Manhattan,Greenwich Village - Soho,Female,All,3,0,2,2,2,2,2,.,.,0,0,.,.,0,.,.,.,.,.,.,1,5.4
2010sep,Manhattan,Greenwich Village - Soho,Female,Heterosexual,3,0,2,2,2,2,2,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Greenwich Village - Soho,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,1,11.3
2010sep,Manhattan,Greenwich Village - Soho,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Greenwich Village - Soho,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Greenwich Village - Soho,Female,Unknown,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Greenwich Village - Soho,Male,All,47,6,17,26,31,37,33,.,.,2,2,.,.,24,.,.,.,.,.,.,15,7.4
2010sep,Manhattan,Greenwich Village - Soho,Male,Heterosexual,2,2,0,1,1,2,1,.,.,0,0,.,.,6,.,.,.,.,.,.,0,0
2010sep,Manhattan,Greenwich Village - Soho,Male,Injection drug use history (IDU),2,1,1,1,1,2,2,.,.,0,0,.,.,2,.,.,.,.,.,.,2,15
2010sep,Manhattan,Greenwich Village - Soho,Male,MSM-IDU,0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,1,4.5
2010sep,Manhattan,Greenwich Village - Soho,Male,Men who have sex with men (MSM),35,3,13,20,25,28,28,.,.,2,2,.,.,10,.,.,.,.,.,.,7,5.9
2010sep,Manhattan,Greenwich Village - Soho,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Greenwich Village - Soho,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Greenwich Village - Soho,Male,Unknown,8,0,3,4,4,5,2,.,.,0,0,.,.,5,.,.,.,.,.,.,5,13.5
2010sep,Manhattan,Lower Manhattan,All,All,20,4,10,12,14,16,15,.,.,3,3,.,.,11,.,.,.,.,.,.,2,1.8
2010sep,Manhattan,Lower Manhattan,Female,All,1,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Female,Heterosexual,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Female,Unknown,1,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Male,All,19,4,10,12,14,16,15,.,.,3,3,.,.,11,.,.,.,.,.,.,2,2.2
2010sep,Manhattan,Lower Manhattan,Male,Heterosexual,1,1,1,1,1,1,1,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Male,Injection drug use history (IDU),1,0,0,1,1,1,1,.,.,1,1,.,.,2,.,.,.,.,.,.,1,21.2
2010sep,Manhattan,Lower Manhattan,Male,MSM-IDU,2,0,1,1,2,2,2,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Male,Men who have sex with men (MSM),15,3,8,9,10,12,11,.,.,2,2,.,.,6,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Lower Manhattan,Male,Unknown,0,0,0,0,0,0,0,.,.,0,0,.,.,2,.,.,.,.,.,.,1,6.2
2010sep,Manhattan,Union Square - Lower East Side,All,All,67,3,28,38,44,53,47,.,.,7,8,.,.,42,.,.,.,.,.,.,75,16.1
2010sep,Manhattan,Union Square - Lower East Side,Female,All,9,1,3,6,6,7,5,.,.,2,2,.,.,10,.,.,.,.,.,.,24,29.7
2010sep,Manhattan,Union Square - Lower East Side,Female,Heterosexual,4,0,2,3,3,3,3,.,.,0,0,.,.,5,.,.,.,.,.,.,9,18.8
2010sep,Manhattan,Union Square - Lower East Side,Female,Injection drug use history (IDU),4,1,1,3,3,3,2,.,.,1,1,.,.,4,.,.,.,.,.,.,12,36.2
2010sep,Manhattan,Union Square - Lower East Side,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Union Square - Lower East Side,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Union Square - Lower East Side,Female,Unknown,1,0,0,0,0,1,0,.,.,1,1,.,.,1,.,.,.,.,.,.,3,33.7
2010sep,Manhattan,Union Square - Lower East Side,Male,All,58,2,25,32,38,46,42,.,.,5,6,.,.,32,.,.,.,.,.,.,51,13.3
2010sep,Manhattan,Union Square - Lower East Side,Male,Heterosexual,1,0,1,1,1,1,1,.,.,0,0,.,.,3,.,.,.,.,.,.,2,6.7
2010sep,Manhattan,Union Square - Lower East Side,Male,Injection drug use history (IDU),2,0,0,1,1,2,2,.,.,0,0,.,.,7,.,.,.,.,.,.,21,22.8
2010sep,Manhattan,Union Square - Lower East Side,Male,MSM-IDU,3,0,1,2,3,3,3,.,.,1,1,.,.,0,.,.,.,.,.,.,3,10.7
2010sep,Manhattan,Union Square - Lower East Side,Male,Men who have sex with men (MSM),41,1,20,24,29,35,32,.,.,4,4,.,.,19,.,.,.,.,.,.,17,10.4
2010sep,Manhattan,Union Square - Lower East Side,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Union Square - Lower East Side,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Union Square - Lower East Side,Male,Unknown,11,1,3,4,4,5,4,.,.,0,1,.,.,3,.,.,.,.,.,.,8,9.9
2010sep,Manhattan,Upper East Side,All,All,44,7,15,23,25,37,35,.,.,1,1,.,.,24,.,.,.,.,.,.,23,16
2010sep,Manhattan,Upper East Side,Female,All,8,1,1,3,3,6,6,.,.,0,0,.,.,2,.,.,.,.,.,.,5,33.5
2010sep,Manhattan,Upper East Side,Female,Heterosexual,4,1,0,1,1,3,4,.,.,0,0,.,.,2,.,.,.,.,.,.,0,0
2010sep,Manhattan,Upper East Side,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,4,44.3
2010sep,Manhattan,Upper East Side,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Upper East Side,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,1,167.9
2010sep,Manhattan,Upper East Side,Female,Unknown,4,0,1,2,2,3,2,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Upper East Side,Male,All,36,6,14,20,22,31,29,.,.,1,1,.,.,22,.,.,.,.,.,.,18,13
2010sep,Manhattan,Upper East Side,Male,Heterosexual,4,1,1,2,3,4,4,.,.,0,0,.,.,2,.,.,.,.,.,.,3,74.9
2010sep,Manhattan,Upper East Side,Male,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,2,.,.,.,.,.,.,6,28.4
2010sep,Manhattan,Upper East Side,Male,MSM-IDU,1,0,1,1,1,1,1,.,.,0,0,.,.,0,.,.,.,.,.,.,1,14.9
2010sep,Manhattan,Upper East Side,Male,Men who have sex with men (MSM),24,3,10,13,14,20,18,.,.,1,1,.,.,13,.,.,.,.,.,.,3,2.5
2010sep,Manhattan,Upper East Side,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Upper East Side,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Upper East Side,Male,Unknown,7,2,2,4,4,6,6,.,.,0,0,.,.,5,.,.,.,.,.,.,5,42.3
2010sep,Manhattan,Upper West Side,All,All,70,16,29,43,51,56,53,.,.,5,8,.,.,59,.,.,.,.,.,.,42,8.8
2010sep,Manhattan,Upper West Side,Female,All,6,2,1,2,4,5,5,.,.,0,0,.,.,7,.,.,.,.,.,.,5,7.8
2010sep,Manhattan,Upper West Side,Female,Heterosexual,2,0,0,0,1,2,2,.,.,0,0,.,.,1,.,.,.,.,.,.,3,9.6
2010sep,Manhattan,Upper West Side,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,3,.,.,.,.,.,.,1,4.6
2010sep,Manhattan,Upper West Side,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Upper West Side,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Upper West Side,Female,Unknown,4,2,1,2,3,3,3,.,.,0,0,.,.,3,.,.,.,.,.,.,1,13.2
2010sep,Manhattan,Upper West Side,Male,All,64,14,28,41,47,51,48,.,.,5,8,.,.,52,.,.,.,.,.,.,37,8.9
2010sep,Manhattan,Upper West Side,Male,Heterosexual,0,0,0,0,0,0,0,.,.,0,0,.,.,2,.,.,.,.,.,.,2,8.9
2010sep,Manhattan,Upper West Side,Male,Injection drug use history (IDU),1,1,0,0,0,0,0,.,.,0,0,.,.,5,.,.,.,.,.,.,11,13.5
2010sep,Manhattan,Upper West Side,Male,MSM-IDU,1,0,0,0,0,0,0,.,.,0,0,.,.,3,.,.,.,.,.,.,2,8.2
2010sep,Manhattan,Upper West Side,Male,Men who have sex with men (MSM),44,8,21,31,36,38,36,.,.,4,5,.,.,29,.,.,.,.,.,.,14,7
2010sep,Manhattan,Upper West Side,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,1,0
2010sep,Manhattan,Upper West Side,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Upper West Side,Male,Unknown,18,5,7,10,11,13,12,.,.,1,3,.,.,13,.,.,.,.,.,.,7,9.4
2010sep,Manhattan,Washington Heights - Inwood,All,All,160,28,80,99,110,137,126,.,.,11,16,.,.,114,.,.,.,.,.,.,55,12.7
2010sep,Manhattan,Washington Heights - Inwood,Female,All,26,7,14,17,20,25,25,.,.,1,1,.,.,22,.,.,.,.,.,.,14,13.9
2010sep,Manhattan,Washington Heights - Inwood,Female,Heterosexual,24,6,13,16,19,23,23,.,.,1,1,.,.,13,.,.,.,.,.,.,8,33.8
2010sep,Manhattan,Washington Heights - Inwood,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,3,.,.,.,.,.,.,6,20.4
2010sep,Manhattan,Washington Heights - Inwood,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Washington Heights - Inwood,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Manhattan,Washington Heights - Inwood,Female,Unknown,2,1,1,1,1,2,2,.,.,0,0,.,.,5,.,.,.,.,.,.,0,0
2010sep,Manhattan,Washington Heights - Inwood,Male,All,134,21,66,82,90,112,101,.,.,10,15,.,.,92,.,.,.,.,.,.,41,11.2
2010sep,Manhattan,Washington Heights - Inwood,Male,Heterosexual,4,0,2,2,3,4,3,.,.,1,2,.,.,4,.,.,.,.,.,.,0,0
2010sep,Manhattan,Washington Heights - Inwood,Male,Injection drug use history (IDU),1,0,0,0,0,0,0,.,.,0,0,.,.,6,.,.,.,.,.,.,13,27.1
2010sep,Manhattan,Washington Heights - Inwood,Male,MSM-IDU,4,1,3,4,4,4,4,.,.,0,0,.,.,5,.,.,.,.,.,.,2,13.1
2010sep,Manhattan,Washington Heights - Inwood,Male,Men who have sex with men (MSM),92,13,45,57,62,78,71,.,.,5,9,.,.,48,.,.,.,.,.,.,12,7.1
2010sep,Manhattan,Washington Heights - Inwood,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Washington Heights - Inwood,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Manhattan,Washington Heights - Inwood,Male,Unknown,33,7,16,19,21,26,23,.,.,4,4,.,.,29,.,.,.,.,.,.,14,16.3
2010sep,Queens,All,All,All,581,133,252,346,389,473,408,170,260,46,56,372,.,398,.,.,.,.,.,.,185,10.6
2010sep,Queens,All,Female,All,132,30,55,72,84,109,93,41,55,9,10,354,.,103,.,.,.,.,.,.,60,11.1
2010sep,Queens,All,Female,Heterosexual,107,26,48,64,74,95,79,35,47,8,8,312,.,73,.,.,.,.,.,.,25,9.9
2010sep,Queens,All,Female,Injection drug use history (IDU),3,1,2,2,3,3,2,0,0,0,0,.,.,13,.,.,.,.,.,.,21,14.8
2010sep,Queens,All,Female,Other,1,0,0,0,0,0,1,0,0,0,1,.,.,0,.,.,.,.,.,.,1,21.5
2010sep,Queens,All,Female,Perinatal,0,0,0,0,0,0,0,0,0,0,0,.,.,2,.,.,.,.,.,.,0,0
2010sep,Queens,All,Female,Unknown,21,3,5,6,7,11,11,6,8,1,1,537,.,15,.,.,.,.,.,.,13,8.5
2010sep,Queens,All,Male,All,449,103,197,274,305,364,315,129,205,37,46,372,.,295,.,.,.,.,.,.,125,10.4
2010sep,Queens,All,Male,Heterosexual,26,14,17,21,22,24,18,9,14,3,5,135,.,41,.,.,.,.,.,.,12,11.2
2010sep,Queens,All,Male,Injection drug use history (IDU),12,3,4,7,9,10,8,4,6,1,1,277,.,18,.,.,.,.,.,.,39,18.7
2010sep,Queens,All,Male,MSM-IDU,4,2,3,3,3,4,4,2,4,0,0,.,.,9,.,.,.,.,.,.,3,9.9
2010sep,Queens,All,Male,Men who have sex with men (MSM),309,48,139,199,217,260,234,80,137,28,35,424,.,146,.,.,.,.,.,.,39,6.9
2010sep,Queens,All,Male,Other,0,0,0,0,0,0,0,0,0,0,0,.,.,0,.,.,.,.,.,.,1,20.7
2010sep,Queens,All,Male,Perinatal,0,0,0,0,0,0,0,0,0,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,All,Male,Unknown,98,36,34,44,54,66,51,34,44,5,5,225,.,80,.,.,.,.,.,.,31,9.1
2010sep,Queens,Bayside - Little Neck,All,All,1,0,0,0,0,0,0,.,.,0,0,.,.,6,.,.,.,.,.,.,2,4.8
2010sep,Queens,Bayside - Little Neck,Female,All,1,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Female,Heterosexual,0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Female,Unknown,1,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Male,All,0,0,0,0,0,0,0,.,.,0,0,.,.,5,.,.,.,.,.,.,2,6.5
2010sep,Queens,Bayside - Little Neck,Male,Heterosexual,0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Male,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Male,MSM-IDU,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Male,Men who have sex with men (MSM),0,0,0,0,0,0,0,.,.,0,0,.,.,2,.,.,.,.,.,.,2,16.6
2010sep,Queens,Bayside - Little Neck,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Bayside - Little Neck,Male,Unknown,0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Flushing - Clearview,All,All,17,6,6,10,11,12,10,.,.,1,1,.,.,15,.,.,.,.,.,.,11,8.9
2010sep,Queens,Flushing - Clearview,Female,All,4,1,1,2,2,3,2,.,.,1,1,.,.,5,.,.,.,.,.,.,6,18.7
2010sep,Queens,Flushing - Clearview,Female,Heterosexual,3,1,1,2,2,3,2,.,.,1,1,.,.,4,.,.,.,.,.,.,0,0
2010sep,Queens,Flushing - Clearview,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,3,40.8
2010sep,Queens,Flushing - Clearview,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,1,172.2
2010sep,Queens,Flushing - Clearview,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Flushing - Clearview,Female,Unknown,1,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,2,11.4
2010sep,Queens,Flushing - Clearview,Male,All,13,5,5,8,9,9,8,.,.,0,0,.,.,10,.,.,.,.,.,.,5,4.7
2010sep,Queens,Flushing - Clearview,Male,Heterosexual,0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Flushing - Clearview,Male,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,1,8.7
2010sep,Queens,Flushing - Clearview,Male,MSM-IDU,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Flushing - Clearview,Male,Men who have sex with men (MSM),7,3,2,4,5,5,4,.,.,0,0,.,.,5,.,.,.,.,.,.,1,2.6
2010sep,Queens,Flushing - Clearview,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Flushing - Clearview,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Flushing - Clearview,Male,Unknown,6,2,3,4,4,4,4,.,.,0,0,.,.,4,.,.,.,.,.,.,3,9.9
2010sep,Queens,Fresh Meadows,All,All,7,3,4,5,6,6,6,.,.,0,1,.,.,7,.,.,.,.,.,.,3,10.1
2010sep,Queens,Fresh Meadows,Female,All,1,1,1,1,1,1,1,.,.,0,0,.,.,4,.,.,.,.,.,.,1,6.2
2010sep,Queens,Fresh Meadows,Female,Heterosexual,1,1,1,1,1,1,1,.,.,0,0,.,.,2,.,.,.,.,.,.,1,15.6
2010sep,Queens,Fresh Meadows,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Fresh Meadows,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Fresh Meadows,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Fresh Meadows,Female,Unknown,0,0,0,0,0,0,0,.,.,0,0,.,.,2,.,.,.,.,.,.,0,0
2010sep,Queens,Fresh Meadows,Male,All,6,2,3,4,5,5,5,.,.,0,1,.,.,3,.,.,.,.,.,.,2,12.1
2010sep,Queens,Fresh Meadows,Male,Heterosexual,2,1,1,1,1,1,1,.,.,0,1,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Fresh Meadows,Male,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,2,92.6
2010sep,Queens,Fresh Meadows,Male,MSM-IDU,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Fresh Meadows,Male,Men who have sex with men (MSM),3,0,1,2,3,3,3,.,.,0,0,.,.,2,.,.,.,.,.,.,0,0
2010sep,Queens,Fresh Meadows,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Fresh Meadows,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Fresh Meadows,Male,Unknown,1,1,1,1,1,1,1,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Jamaica,All,All,122,17,45,65,73,93,79,.,.,14,17,.,.,82,.,.,.,.,.,.,56,17.1
2010sep,Queens,Jamaica,Female,All,43,6,13,20,25,33,27,.,.,3,3,.,.,30,.,.,.,.,.,.,19,15.2
2010sep,Queens,Jamaica,Female,Heterosexual,39,6,11,18,23,31,25,.,.,2,2,.,.,22,.,.,.,.,.,.,11,17.4
2010sep,Queens,Jamaica,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,4,.,.,.,.,.,.,4,15.4
2010sep,Queens,Jamaica,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Jamaica,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Jamaica,Female,Unknown,4,0,2,2,2,2,2,.,.,1,1,.,.,4,.,.,.,.,.,.,4,11.1
2010sep,Queens,Jamaica,Male,All,79,11,32,45,48,60,52,.,.,11,14,.,.,52,.,.,.,.,.,.,37,18.2
2010sep,Queens,Jamaica,Male,Heterosexual,4,3,3,4,4,4,4,.,.,1,1,.,.,12,.,.,.,.,.,.,3,16.5
2010sep,Queens,Jamaica,Male,Injection drug use history (IDU),4,1,1,3,3,3,1,.,.,1,1,.,.,4,.,.,.,.,.,.,14,27.2
2010sep,Queens,Jamaica,Male,MSM-IDU,0,0,0,0,0,0,0,.,.,0,0,.,.,2,.,.,.,.,.,.,1,28.7
2010sep,Queens,Jamaica,Male,Men who have sex with men (MSM),53,4,22,30,33,43,41,.,.,7,10,.,.,21,.,.,.,.,.,.,8,7.2
2010sep,Queens,Jamaica,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Jamaica,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Jamaica,Male,Unknown,18,3,6,8,8,10,6,.,.,2,2,.,.,13,.,.,.,.,.,.,11,13.3
2010sep,Queens,Long Island City - Astoria,All,All,88,19,48,63,66,79,73,.,.,6,9,.,.,40,.,.,.,.,.,.,16,9.2
2010sep,Queens,Long Island City - Astoria,Female,All,14,1,7,9,9,13,12,.,.,0,0,.,.,3,.,.,.,.,.,.,5,7.2
2010sep,Queens,Long Island City - Astoria,Female,Heterosexual,8,0,5,6,6,7,7,.,.,0,0,.,.,0,.,.,.,.,.,.,3,9.6
2010sep,Queens,Long Island City - Astoria,Female,Injection drug use history (IDU),1,0,1,1,1,1,0,.,.,0,0,.,.,1,.,.,.,.,.,.,2,12.6
2010sep,Queens,Long Island City - Astoria,Female,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Long Island City - Astoria,Female,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Long Island City - Astoria,Female,Unknown,5,1,1,2,2,5,5,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Long Island City - Astoria,Male,All,74,18,41,54,57,66,61,.,.,6,9,.,.,37,.,.,.,.,.,.,11,9.5
2010sep,Queens,Long Island City - Astoria,Male,Heterosexual,2,1,1,1,1,2,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
2010sep,Queens,Long Island City - Astoria,Male,Injection drug use history (IDU),1,0,0,1,1,1,1,.,.,0,0,.,.,1,.,.,.,.,.,.,2,4.9
2010sep,Queens,Long Island City - Astoria,Male,MSM-IDU,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Long Island City - Astoria,Male,Men who have sex with men (MSM),64,13,35,47,50,57,54,.,.,6,9,.,.,26,.,.,.,.,.,.,7,11.4
2010sep,Queens,Long Island City - Astoria,Male,Other,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Long Island City - Astoria,Male,Perinatal,0,0,0,0,0,0,0,.,.,0,0,.,.,0,.,.,.,.,.,.,0,0
2010sep,Queens,Long Island City - Astoria,Male,Unknown,7,4,5,5,5,6,6,.,.,0,0,.,.,9,.,.,.,.,.,.,2,11.6
2010sep,Queens,Ridgewood - Forest Hills,All,All,38,9,21,26,28,32,28,.,.,2,2,.,.,30,.,.,.,.,.,.,9,11.9
2010sep,Queens,Ridgewood - Forest Hills,Female,All,6,1,4,4,5,5,5,.,.,0,0,.,.,8,.,.,.,.,.,.,1,7.2
2010sep,Queens,Ridgewood - Forest Hills,Female,Heterosexual,6,1,4,4,5,5,5,.,.,0,0,.,.,7,.,.,.,.,.,.,1,10.8
2010sep,Queens,Ridgewood - Forest Hills,Female,Injection drug use history (IDU),0,0,0,0,0,0,0,.,.,0,0,.,.,1,.,.,.,.,.,.,0,0
